Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-01-01_2024-01-01,CZFS,6.4304,15.8334,0.2853,0.1923,-21.847
Average,CZFS,1.0848,11.4632,-0.1628,-0.0947,-14.0048
2004-01-01_2006-01-01,BELFA,15.5698,17.6236,0.7406,0.5425,-14.3697
2005-01-01_2007-01-01,BELFA,8.2748,15.5728,0.3973,0.3163,-14.3702
2006-01-01_2008-01-01,BELFA,2.0804,12.6374,-0.0084,-0.0085,-12.4469
2007-01-01_2009-01-01,BELFA,5.9982,26.6806,0.2387,0.1618,-30.4597
2008-01-01_2010-01-01,BELFA,2.76,32.3968,0.1519,0.1068,-31.9508
2009-01-01_2011-01-01,BELFA,10.3536,25.5153,0.3939,0.3099,-18.473
2010-01-01_2012-01-01,BELFA,24.4669,28.0311,0.8063,0.8313,-16.3042
2011-01-01_2013-01-01,BELFA,11.7183,25.2747,0.4395,0.4225,-19.122
2012-01-01_2014-01-01,BELFA,9.4131,16.8843,0.44,0.3421,-19.1231
2013-01-01_2015-01-01,BELFA,14.3705,18.5276,0.6558,0.4995,-15.3115
2014-01-01_2016-01-01,BELFA,-2.2563,23.7912,-0.1017,-0.0673,-24.7099
2015-01-01_2017-01-01,BELFA,1.1632,24.3056,0.047,0.0281,-29.5323
2016-01-01_2018-01-01,BELFA,10.5201,23.5596,0.4165,0.2489,-19.4482
2017-01-01_2019-01-01,BELFA,2.5634,26.553,0.1137,0.0803,-26.9985
2018-01-01_2020-01-01,BELFA,-11.7482,30.7971,-0.3494,-0.2329,-50.2109
2019-01-01_2021-01-01,BELFA,8.3377,36.2968,0.3206,0.21,-52.838
2020-01-01_2022-01-01,BELFA,48.2459,35.7825,1.1921,0.942,-19.2118
2021-01-01_2023-01-01,BELFA,20.3084,25.3745,0.7351,0.5919,-19.2148
2022-01-01_2024-01-01,BELFA,17.838,21.2723,0.7386,0.4877,-21.3521
Average,BELFA,10.5251,24.5725,0.3878,0.3059,-23.9709
2004-01-01_2006-01-01,SKY,7.3698,11.7832,0.4111,0.283,-12.4334
2005-01-01_2007-01-01,SKY,6.9873,13.1852,0.3537,0.2474,-12.4347
2006-01-01_2008-01-01,SKY,-5.2255,15.0976,-0.4762,-0.3471,-31.3798
2007-01-01_2009-01-01,SKY,-10.3386,27.5719,-0.3651,-0.25,-43.9798
2008-01-01_2010-01-01,SKY,-8.5016,30.5524,-0.2352,-0.1728,-37.2775
2009-01-01_2011-01-01,SKY,4.8938,23.7278,0.194,0.1518,-37.2778
2010-01-01_2012-01-01,SKY,13.5121,25.424,0.506,0.3957,-22.3841
2011-01-01_2013-01-01,SKY,-18.0425,27.6369,-0.6899,-0.4939,-51.8191
2012-01-01_2014-01-01,SKY,-14.9846,22.1479,-0.7546,-0.4872,-50.4044
2013-01-01_2015-01-01,SKY,18.7303,23.8382,0.71,0.6763,-17.3619
2014-01-01_2016-01-01,SKY,14.412,30.4128,0.4849,0.5622,-34.0358
2015-01-01_2017-01-01,SKY,28.0481,27.3854,0.9216,0.9719,-22.979
2016-01-01_2018-01-01,SKY,14.5241,23.4233,0.5691,0.3999,-27.6182
2017-01-01_2019-01-01,SKY,-12.4355,24.69,-0.5325,-0.339,-43.2781
2018-01-01_2020-01-01,SKY,1.2222,25.5533,0.0593,0.0392,-36.0712
2019-01-01_2021-01-01,SKY,9.9795,28.8918,0.3721,0.2349,-37.4032
2020-01-01_2022-01-01,SKY,14.6624,27.7987,0.526,0.3346,-36.5093
2021-01-01_2023-01-01,SKY,22.4681,23.958,0.8425,0.624,-21.3087
2022-01-01_2024-01-01,SKY,14.6167,22.2345,0.5933,0.3718,-21.304
Average,SKY,5.3631,23.9638,0.1837,0.1686,-31.4347
2004-01-01_2006-01-01,FEIM,3.211,14.1242,0.0847,0.058,-27.5363
2005-01-01_2007-01-01,FEIM,10.2712,12.6153,0.6029,0.5662,-7.6603
2006-01-01_2008-01-01,FEIM,4.418,13.1384,0.1691,0.1355,-12.9536
2007-01-01_2009-01-01,FEIM,0.1313,19.6391,-0.0468,-0.0373,-28.1457
2008-01-01_2010-01-01,FEIM,-0.3148,33.0484,0.0647,0.0462,-36.9847
2009-01-01_2011-01-01,FEIM,0.7405,30.4123,0.0779,0.0522,-27.3239
2010-01-01_2012-01-01,FEIM,-2.4472,17.5692,-0.2232,-0.19,-28.0261
2011-01-01_2013-01-01,FEIM,0.2203,17.7947,-0.067,-0.0604,-28.026
2012-01-01_2014-01-01,FEIM,2.6778,13.883,0.0459,0.0337,-11.6503
2013-01-01_2015-01-01,FEIM,-1.7956,12.458,-0.3209,-0.2525,-15.648
2014-01-01_2016-01-01,FEIM,-4.7568,12.4586,-0.5666,-0.4306,-21.1032
2015-01-01_2017-01-01,FEIM,1.463,12.0071,-0.0657,-0.0498,-12.1715
2016-01-01_2018-01-01,FEIM,0.5944,12.3408,-0.1302,-0.092,-17.7774
2017-01-01_2019-01-01,FEIM,3.8943,14.6728,0.1315,0.0988,-23.8139
2018-01-01_2020-01-01,FEIM,-0.0752,18.1117,-0.0769,-0.0561,-25.0077
2019-01-01_2021-01-01,FEIM,3.5703,20.0093,0.1258,0.0897,-31.5438
2020-01-01_2022-01-01,FEIM,10.2567,19.176,0.4477,0.3955,-17.9277
