Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2020-01-01_2022-01-01,CAT,9.4553,16.895,0.4433,0.2306,-16.1131
2021-01-01_2023-01-01,CAT,1.9863,4.0488,-0.2256,-0.3561,-1.8887
2022-01-01_2024-01-01,CAT,8.4028,9.3578,0.5924,0.3366,-10.676
Average,CAT,3.6913,12.7543,0.1432,0.0812,-17.2335
2004-01-01_2006-01-01,SRL,11.6778,15.6218,0.5944,0.5003,-18.7827
2005-01-01_2007-01-01,SRL,6.1726,14.0985,0.2855,0.1095,-14.496
2006-01-01_2008-01-01,SRL,-2.5159,5.4545,-0.9826,-0.1839,-12.4566
2007-01-01_2009-01-01,SRL,27.5084,28.856,0.8817,0.603,-16.4191
2008-01-01_2010-01-01,SRL,-6.379,36.5892,-0.0565,-0.0301,-50.8411
2009-01-01_2011-01-01,SRL,8.9731,33.8576,0.3336,0.3599,-42.5243
2010-01-01_2012-01-01,SRL,16.6692,11.7001,1.1229,0.7376,-9.4358
2011-01-01_2013-01-01,SRL,9.1824,9.0279,0.69,0.5186,-6.8579
2012-01-01_2014-01-01,SRL,2.5148,7.8173,-0.0224,-0.0175,-5.8872
2013-01-01_2015-01-01,SRL,-6.7026,10.0661,-0.9333,-0.492,-29.3609
2014-01-01_2016-01-01,SRL,-7.4753,30.1859,-0.2048,-0.1749,-48.2654
2015-01-01_2017-01-01,SRL,-12.2422,36.1715,-0.2614,-0.2441,-39.9449
2016-01-01_2018-01-01,SRL,1.6555,6.3642,-0.1766,-0.063,-6.362
2017-01-01_2019-01-01,SRL,-0.3373,10.5318,-0.2607,-0.1739,-18.1164
2018-01-01_2020-01-01,SRL,13.5393,21.8071,0.5515,0.4507,-17.3851
2019-01-01_2021-01-01,SRL,-10.0323,17.4418,-0.6875,-0.3547,-41.0424
2020-01-01_2022-01-01,SRL,-16.8106,20.1305,-0.9562,-0.3932,-48.7853
2021-01-01_2023-01-01,SRL,3.289,22.371,0.1226,0.0605,-19.0063
2022-01-01_2024-01-01,SRL,-1.6593,13.7224,-0.2694,-0.134,-16.7704
Average,SRL,1.9488,18.5166,-0.0121,0.0568,-24.3547
2004-01-01_2006-01-01,CZFS,2.3705,6.7385,-0.0582,-0.031,-4.0987
2005-01-01_2007-01-01,CZFS,0.0868,5.2321,-0.523,-0.1835,-9.8414
2006-01-01_2008-01-01,CZFS,-2.2494,5.9305,-0.8515,-0.1207,-9.6096
2007-01-01_2009-01-01,CZFS,-3.6349,10.8558,-0.5587,-0.1542,-17.1347
2008-01-01_2010-01-01,CZFS,1.8161,9.036,-0.0835,-0.0212,-10.233
2009-01-01_2011-01-01,CZFS,18.3562,22.2326,0.7356,0.4475,-12.6445
2010-01-01_2012-01-01,CZFS,0.0,0.0,0.0,0.0,-0.0
2011-01-01_2013-01-01,CZFS,-0.6846,12.3657,-0.2331,-0.1656,-21.4186
2012-01-01_2014-01-01,CZFS,1.9097,2.7182,-0.3796,-0.0725,-2.6486
2013-01-01_2015-01-01,CZFS,0.4508,4.2805,-0.5646,-0.0736,-5.9595
2014-01-01_2016-01-01,CZFS,-1.0066,2.2459,-1.7571,-0.1756,-4.6014
2015-01-01_2017-01-01,CZFS,0.0,0.0,0.0,0.0,-0.0
2016-01-01_2018-01-01,CZFS,-0.1497,0.3522,-8.828,-0.954,-0.7174
2017-01-01_2019-01-01,CZFS,7.0287,11.7134,0.3856,0.311,-12.0278
2018-01-01_2020-01-01,CZFS,4.1033,6.8915,0.1883,0.1109,-6.5377
2019-01-01_2021-01-01,CZFS,-3.2103,6.6927,-0.895,-0.1508,-10.3207
2020-01-01_2022-01-01,CZFS,-1.7492,7.4248,-0.5979,-0.1251,-14.8174
2021-01-01_2023-01-01,CZFS,1.6647,3.7437,-0.331,-0.0795,-3.2956
2022-01-01_2024-01-01,CZFS,0.2369,3.6886,-0.7199,-0.1284,-4.9168
Average,CZFS,1.3336,6.4286,-0.7932,-0.0824,-7.9381
2004-01-01_2006-01-01,BELFA,-3.1122,6.7804,-0.869,-0.2869,-10.7877
2005-01-01_2007-01-01,BELFA,14.2888,17.7043,0.6746,0.5627,-15.3915
2006-01-01_2008-01-01,BELFA,-1.0934,9.3848,-0.3857,-0.2208,-22.0824
2007-01-01_2009-01-01,BELFA,8.4732,26.6179,0.3229,0.2101,-27.133
2008-01-01_2010-01-01,BELFA,-5.6349,39.0256,-0.0374,-0.0388,-59.5067
2009-01-01_2011-01-01,BELFA,11.481,45.057,0.3953,0.4536,-58.0847
2010-01-01_2012-01-01,BELFA,2.2815,4.2553,-0.1442,-0.0247,-4.6505
2011-01-01_2013-01-01,BELFA,-10.6473,16.0247,-0.8063,-0.3641,-36.8231
2012-01-01_2014-01-01,BELFA,5.6761,15.567,0.2411,0.1315,-15.1604
2013-01-01_2015-01-01,BELFA,8.4032,12.6633,0.466,0.2375,-7.3521
2014-01-01_2016-01-01,BELFA,-4.3402,13.9385,-0.4614,-0.1931,-26.3527
2015-01-01_2017-01-01,BELFA,34.4077,22.3977,1.2908,1.0257,-8.2143
2016-01-01_2018-01-01,BELFA,2.8647,11.0495,0.0425,0.0123,-8.6165
2017-01-01_2019-01-01,BELFA,20.9447,16.5483,1.0519,0.6392,-12.0831
2018-01-01_2020-01-01,BELFA,2.6513,31.0128,0.1374,0.0975,-28.83
2019-01-01_2021-01-01,BELFA,30.3393,39.2316,0.7939,0.5078,-29.7063
2020-01-01_2022-01-01,BELFA,22.9984,44.6423,0.6191,0.4199,-29.8986
2021-01-01_2023-01-01,BELFA,1.2942,9.482,-0.1297,-0.0295,-10.4199
2022-01-01_2024-01-01,BELFA,1.2728,2.0619,-0.812,-0.1593,-1.7376
Average,BELFA,7.5026,20.1813,0.1258,0.1569,-21.728
2004-01-01_2006-01-01,SKY,11.6188,12.4154,0.7085,0.6302,-11.0216
2005-01-01_2007-01-01,SKY,17.4601,10.3202,1.3241,0.751,-5.0669
2006-01-01_2008-01-01,SKY,-5.774,17.7374,-0.4143,-0.2175,-22.602
2007-01-01_2009-01-01,SKY,-30.7704,43.5798,-0.6947,-0.7216,-72.8266
2008-01-01_2010-01-01,SKY,41.7733,45.8245,0.9219,1.057,-32.1816
2009-01-01_2011-01-01,SKY,53.0261,31.8895,1.3988,1.379,-17.5875
2010-01-01_2012-01-01,SKY,-28.3432,36.2727,-0.8145,-0.5337,-67.9187
2011-01-01_2013-01-01,SKY,-10.9225,42.2002,-0.1317,-0.1045,-64.3329
2012-01-01_2014-01-01,SKY,23.404,36.0699,0.6809,0.7882,-33.5765
2013-01-01_2015-01-01,SKY,3.6773,27.9567,0.1559,0.1223,-40.5624
2014-01-01_2016-01-01,SKY,2.6849,17.5894,0.0651,0.0484,-20.7912
2015-01-01_2017-01-01,SKY,-5.2106,19.0511,-0.3391,-0.1706,-31.0886
2016-01-01_2018-01-01,SKY,-0.0966,28.6831,0.0457,0.019,-38.8467
2017-01-01_2019-01-01,SKY,28.47,31.1278,0.8692,0.4228,-31.3859
2018-01-01_2020-01-01,SKY,9.7987,21.4598,0.3977,0.1919,-30.0038
2019-01-01_2021-01-01,SKY,-9.5798,26.6129,-0.3541,-0.2565,-48.9688
2020-01-01_2022-01-01,SKY,17.4038,21.5533,0.7129,0.5297,-29.051
2021-01-01_2023-01-01,SKY,9.6633,18.8603,0.4262,0.2601,-17.1181
2022-01-01_2024-01-01,SKY,0.6282,25.7731,0.0378,0.0286,-27.6996
Average,SKY,6.7848,27.1041,0.263,0.2223,-33.8227
2004-01-01_2006-01-01,FEIM,2.2077,9.3591,-0.0365,-0.0213,-11.3765
2005-01-01_2007-01-01,FEIM,2.949,8.6694,0.0371,0.0182,-7.7937
2006-01-01_2008-01-01,FEIM,1.2009,14.3084,-0.051,-0.0246,-22.216
2007-01-01_2009-01-01,FEIM,-29.151,40.5654,-0.7247,-0.698,-67.503
2008-01-01_2010-01-01,FEIM,-4.9122,34.8945,-0.0633,-0.0483,-51.5595
2009-01-01_2011-01-01,FEIM,9.029,18.7811,0.3895,0.2664,-18.2659
2010-01-01_2012-01-01,FEIM,1.4133,11.1846,-0.0844,-0.0622,-15.6331
2011-01-01_2013-01-01,FEIM,5.6848,10.8986,0.2888,0.147,-8.4147
2012-01-01_2014-01-01,FEIM,-2.6166,9.242,-0.5605,-0.2408,-10.1216
2013-01-01_2015-01-01,FEIM,-0.6191,7.1254,-0.4681,-0.1537,-11.4066
2014-01-01_2016-01-01,FEIM,18.2355,15.0698,0.9898,0.7839,-10.7218
2015-01-01_2017-01-01,FEIM,1.731,13.992,-0.02,-0.0144,-17.6757
2016-01-01_2018-01-01,FEIM,12.6745,19.4772,0.5568,0.5187,-14.4015
2017-01-01_2019-01-01,FEIM,6.6674,24.6687,0.2626,0.2616,-20.0207
2018-01-01_2020-01-01,FEIM,-4.1175,18.8821,-0.2872,-0.1952,-27.6839
2019-01-01_2021-01-01,FEIM,-2.5718,23.7409,-0.1178,-0.0447,-28.6462
2020-01-01_2022-01-01,FEIM,9.0279,25.6924,0.3478,0.1775,-24.7489
2021-01-01_2023-01-01,FEIM,3.7311,17.4108,0.1269,0.091,-23.8684
2022-01-01_2024-01-01,FEIM,11.5117,26.1682,0.4341,0.4074,-27.9282
Average,FEIM,2.2145,18.4279,0.0537,0.0615,-22.1045
2004-01-01_2006-01-01,CPSH,60.0026,41.1771,1.2558,1.0918,-26.717
2005-01-01_2007-01-01,CPSH,-0.9911,1.1886,-3.3224,-0.3034,-2.8249
2006-01-01_2008-01-01,CPSH,1.3714,9.5507,-0.12,-0.0184,-9.975
2007-01-01_2009-01-01,CPSH,9.9304,21.476,0.3964,0.1269,-12.9083
2008-01-01_2010-01-01,CPSH,57.2335,67.6195,0.9266,0.6505,-33.4124
2009-01-01_2011-01-01,CPSH,46.4236,69.4742,0.7552,0.5326,-25.7858
2010-01-01_2012-01-01,CPSH,14.7443,39.9304,0.4174,0.4682,-14.1409
