Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2020-01-01_2022-01-01,CZFS,1.8669,22.1958,0.063,0.0427,-40.5629
2021-01-01_2023-01-01,CZFS,15.3107,20.3179,0.6569,0.5952,-22.3632
2022-01-01_2024-01-01,CZFS,4.9749,28.1366,0.2077,0.2366,-51.1441
Average,CZFS,7.6474,21.6315,0.2867,0.2539,-20.819
2004-01-01_2006-01-01,BELFA,-2.8069,29.8433,-0.045,-0.0534,-36.3413
2005-01-01_2007-01-01,BELFA,1.7475,26.8876,0.0889,0.1,-23.5336
2006-01-01_2008-01-01,BELFA,10.1427,29.4412,0.3678,0.5309,-20.6309
2007-01-01_2009-01-01,BELFA,-16.3324,50.4129,-0.1676,-0.1989,-66.3107
2008-01-01_2010-01-01,BELFA,-16.4172,62.0637,-0.0333,-0.0419,-75.7546
2009-01-01_2011-01-01,BELFA,13.312,52.0352,0.4369,0.5725,-55.5679
2010-01-01_2012-01-01,BELFA,6.2637,42.5994,0.2798,0.3786,-42.8294
2011-01-01_2013-01-01,BELFA,-12.4747,42.0637,-0.183,-0.2274,-49.1683
2012-01-01_2014-01-01,BELFA,-2.3177,34.7974,0.019,0.0203,-41.6331
2013-01-01_2015-01-01,BELFA,11.7461,33.2412,0.4087,0.5038,-28.831
2014-01-01_2016-01-01,BELFA,-8.7825,38.5476,-0.1231,-0.1341,-47.1204
2015-01-01_2017-01-01,BELFA,6.1533,38.57,0.2706,0.2868,-45.8203
2016-01-01_2018-01-01,BELFA,14.3559,40.3916,0.4605,0.4788,-28.5117
2017-01-01_2019-01-01,BELFA,-19.7728,44.3014,-0.3439,-0.3847,-54.1373
2018-01-01_2020-01-01,BELFA,-9.3541,57.1982,0.0563,0.0697,-63.4996
2019-01-01_2021-01-01,BELFA,-6.2206,72.7427,0.2345,0.2633,-73.1001
2020-01-01_2022-01-01,BELFA,-0.8971,63.892,0.2598,0.289,-62.7997
2021-01-01_2023-01-01,BELFA,30.9429,42.7453,0.7694,1.1476,-38.5789
2022-01-01_2024-01-01,BELFA,66.3433,42.3431,1.3391,1.8139,-42.1548
Average,BELFA,3.4543,44.4272,0.2156,0.285,-47.1749
2004-01-01_2006-01-01,SKY,3.4817,22.4833,0.1328,0.1636,-20.883
2005-01-01_2007-01-01,SKY,3.0645,23.1552,0.1179,0.1575,-19.174
2006-01-01_2008-01-01,SKY,-4.7572,31.8044,-0.0893,-0.1168,-33.4042
2007-01-01_2009-01-01,SKY,-20.3349,55.5511,-0.1885,-0.2445,-59.6759
2008-01-01_2010-01-01,SKY,-12.631,60.9253,0.0304,0.0434,-54.2389
2009-01-01_2011-01-01,SKY,12.0393,50.5746,0.4163,0.62,-37.0153
2010-01-01_2012-01-01,SKY,-38.4195,54.3629,-0.6716,-0.7971,-85.2202
2011-01-01_2013-01-01,SKY,-47.1106,54.0207,-0.9591,-1.1262,-85.368
2012-01-01_2014-01-01,SKY,4.1216,42.7186,0.2384,0.3118,-54.2158
2013-01-01_2015-01-01,SKY,-2.2229,41.4567,0.0779,0.1053,-62.2213
